,District,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Price
99,三峽區,公寓,加強磚造,60.0,2.0,2.0,1.0,4700000.0
100,三峽區,住宅大樓,鋼筋混凝土造,163.81,3.0,2.0,2.0,13200000.0
101,三峽區,公寓,鋼筋混凝土造,90.77,3.0,2.0,2.0,4900000.0
102,三峽區,住宅大樓,鋼筋混凝土造,140.56,3.0,3.0,3.0,10000000.0
103,三峽區,住宅大樓,鋼筋混凝土造,127.51,3.0,2.0,2.0,11700000.0
104,三峽區,華廈,鋼筋混凝土造,69.12,2.0,2.0,1.0,4200000.0
105,三峽區,華廈,鋼筋混凝土造,173.56,4.0,2.0,2.0,13600000.0
106,三峽區,住宅大樓,鋼筋混凝土造,106.59,2.0,2.0,1.0,8250000.0
107,三峽區,住宅大樓,鋼筋混凝土造,166.04,2.0,2.0,2.0,13500000.0
108,三峽區,華廈,鋼筋混凝土造,156.44,4.0,2.0,2.0,10000000.0
109,三峽區,住宅大樓,鋼筋混凝土造,115.67,3.0,2.0,2.0,9160000.0
110,三峽區,住宅大樓,鋼筋混凝土造,135.43,2.0,1.0,1.0,9800000.0
111,三峽區,住宅大樓,鋼筋混凝土造,164.51,4.0,2.0,2.0,13000000.0
112,三峽區,公寓,鋼筋混凝土造,83.38,2.0,2.0,1.0,4600000.0
113,三峽區,住宅大樓,鋼筋混凝土造,70.05,2.0,0.0,2.0,6200000.0
114,三峽區,公寓,鋼筋混凝土造,102.28,3.0,2.0,2.0,5300000.0
115,三峽區,住宅大樓,鋼筋混凝土造,163.5,3.0,2.0,1.0,11800000.0
116,三峽區,住宅大樓,鋼筋混凝土造,69.69,2.0,0.0,2.0,6020000.0
117,三峽區,住宅大樓,鋼筋混凝土造,169.63,3.0,2.0,2.0,13000000.0
118,三峽區,華廈,鋼筋混凝土造,155.21,3.0,2.0,2.0,8580000.0
119,三峽區,住宅大樓,鋼筋混凝土造,121.77,2.0,2.0,1.0,10300000.0
120,三峽區,華廈,鋼筋混凝土造,82.42,3.0,2.0,2.0,5800000.0
121,三峽區,住宅大樓,鋼筋混凝土造,185.31,3.0,2.0,2.0,11800000.0
122,三峽區,住宅大樓,鋼筋混凝土造,163.41,3.0,2.0,2.0,13280000.0
