鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土益也使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,編號
北區,房地(土地+建物)+車位,臺南市北區海安路3段A07棟13樓號,15.18,住,,,1060106,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10210000,63005,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A01棟14樓號,15.14,住,,,1060113,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10720000,66189,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A02棟14樓號,11.15,住,,,1060113,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6750000,71557,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B02棟13樓號,11.15,住,,,1060114,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6750000,71732,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟24樓號,15.21,住,,,1060125,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10220000,63180,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟21樓號,15.21,住,,,1060125,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10100000,62438,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B02棟20樓號,11.15,住,,,1060209,土地1建物1車位1,,,05,,,,,1,2,2,有,無,7590000,59576,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B05棟14樓號,15.21,住,,,1060206,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9260000,57245,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B02棟14樓號,11.15,住,,,1060131,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6700000,71201,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟14樓號,19.5,住,,,1060202,土地1建物1車位1,,,05,,,,,3,2,3,有,無,11400000,58113,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟13樓號,15.18,住,,,1060210,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10240000,63315,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟24樓號,15.21,住,,,1060209,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10850000,66942,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A02棟04樓號,11.15,住,,,1060210,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6080000,64455,,,,,,
