,District,MainMaterial,B_area,LivingR,BathR,Price,PropertyType2,log_Price,log_B_area
3944,鶯歌區,鋼筋混凝土造,113.3,2,2,3000000.0,公寓,14.914122846632385,4.730039168033961
3945,中和區,鋼筋混凝土造,141.51,1,1,12000000.0,住宅大樓,16.300417207752275,4.95237038596428
3946,中和區,鋼筋混凝土造,124.88,2,2,10300000.0,華廈,16.147654453199863,4.827353276207177
3947,中和區,鋼筋混凝土造,95.99,2,1,9000000.0,公寓,16.012735135300492,4.564244019375446
3948,永和區,鋼筋混凝土造,195.59,2,2,19900000.0,住宅大樓,16.80623028969472,5.276020631549426
3949,三重區,鋼筋混凝土造,74.0,2,2,5600000.0,公寓,15.538277155705378,4.30406509320417
3950,淡水區,鋼筋混凝土造,138.75,2,2,7250000.0,住宅大樓,15.796512026830857,4.932673752626544
3951,淡水區,鋼筋混凝土造,216.88,2,2,8500000.0,住宅大樓,15.955576721460545,5.37934420519041
3952,新店區,鋼筋混凝土造,24.83,1,1,1800000.0,住宅大樓,14.403297222866392,3.2120525995200753
3953,新店區,鋼筋混凝土造,68.61,2,1,4900000.0,華廈,15.404745763080856,4.2284382967028
3954,新店區,鋼筋混凝土造,88.81,2,1,6500000.0,華廈,15.687312734865866,4.486499256270413
3955,新店區,鋼筋混凝土造,121.52,2,2,12280000.0,住宅大樓,16.32348248068327,4.800078858287518
3956,淡水區,鋼筋混凝土造,181.23,2,2,9000000.0,住宅大樓,16.012735135300492,5.199766942818759
3957,板橋區,加強磚造,66.05,2,1,9200000.0,公寓,16.034714042019267,4.190412030968334
3958,三峽區,鋼筋混凝土造,39.17,1,1,2850000.0,住宅大樓,14.862829552244833,3.66791114767774
3959,樹林區,鋼筋混凝土造,125.89,2,1,7300000.0,住宅大樓,15.80338490611862,4.835408509778168
3960,樹林區,鋼筋混凝土造,49.86,1,1,3300000.0,套房,15.009433026436708,3.9092190780954117
3961,鶯歌區,鋼筋混凝土造,113.4,2,2,3450000.0,住宅大樓,15.053884789007542,4.730921391293652
3962,三峽區,鋼筋混凝土造,101.75,2,2,5700000.0,公寓,15.555976732804778,4.622518824322705
3963,樹林區,鋼筋混凝土造,105.75,1,1,5400000.0,住宅大樓,15.501909511534503,4.661077817926388
3964,淡水區,鋼筋混凝土造,24.2,1,1,900000.0,套房,13.710150042306449,3.186352633162641
3965,三重區,鋼筋混凝土造,131.73,2,2,14000000.0,住宅大樓,16.454567887579532,4.880754373241736
3966,三重區,鋼筋混凝土造,41.84,0,1,4500000.0,住宅大樓,15.319587954740548,3.7338528197566676
3967,三重區,鋼筋混凝土造,257.15,4,2,37900000.0,住宅大樓,17.450461670052654,5.549659572220925
3968,蘆洲區,鋼筋混凝土造,89.76,2,2,8700000.0,公寓,15.978833583624812,4.497139441774387
3969,三重區,鋼筋混凝土造,167.22,2,1,16000000.0,住宅大樓,16.588099280204055,5.119310310721912
3970,蘆洲區,鋼筋混凝土造,201.57,2,2,22650000.0,住宅大樓,16.935670409893316,5.306136715600168
