,District,L_area,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Management,Price
3413,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7880000.0
3414,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7280000.0
3415,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7620000.0
3416,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7280000.0
3417,淡水區,24.83,住宅大樓,鋼筋混凝土造,175.43,4.0,2.0,2.0,1,7150000.0
3418,淡水區,25.67,住宅大樓,鋼筋混凝土造,180.29,4.0,2.0,2.0,1,7800000.0
3419,淡水區,25.67,住宅大樓,鋼筋混凝土造,180.29,4.0,2.0,2.0,1,7600000.0
3420,淡水區,25.67,住宅大樓,鋼筋混凝土造,180.29,4.0,2.0,2.0,1,7650000.0
3421,淡水區,25.67,住宅大樓,鋼筋混凝土造,180.29,4.0,2.0,2.0,1,7830000.0
3422,淡水區,25.67,住宅大樓,鋼筋混凝土造,180.29,4.0,2.0,2.0,1,7850000.0
3423,淡水區,26.37,住宅大樓,鋼筋混凝土造,211.75,4.0,2.0,2.0,1,8570000.0
3424,淡水區,25.67,住宅大樓,鋼筋混凝土造,180.29,4.0,2.0,2.0,1,7750000.0
3425,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,5160000.0
3426,淡水區,19.39,住宅大樓,鋼筋混凝土造,142.96,2.0,2.0,2.0,1,5370000.0
3427,淡水區,37.01,公寓,鋼筋混凝土造,122.41,4.0,2.0,2.0,2,5250000.0
3428,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7000000.0
3429,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7030000.0
3430,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7900000.0
3431,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7110000.0
3432,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7630000.0
3433,淡水區,25.95,住宅大樓,鋼筋混凝土造,209.57,4.0,2.0,2.0,1,7950000.0
3434,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,8100000.0
3435,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,8100000.0
3436,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,8130000.0
3437,淡水區,29.64,住宅大樓,鋼筋混凝土造,204.42,4.0,2.0,2.0,1,8800000.0
3438,淡水區,30.48,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8720000.0
3439,淡水區,20.09,住宅大樓,鋼筋混凝土造,146.99,2.0,2.0,2.0,1,5770000.0
3440,淡水區,15.0,住宅大樓,鋼筋混凝土造,116.85,2.0,2.0,2.0,1,4500000.0
3441,淡水區,30.48,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8920000.0
3442,淡水區,30.48,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8750000.0
3443,淡水區,19.95,住宅大樓,鋼筋混凝土造,146.4,2.0,2.0,2.0,1,6470000.0
3444,淡水區,14.16,住宅大樓,鋼筋混凝土造,84.35,2.0,2.0,2.0,1,3710000.0
3445,淡水區,14.16,住宅大樓,鋼筋混凝土造,84.35,2.0,2.0,2.0,1,3960000.0
3446,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.24,2.0,2.0,2.0,1,4570000.0
3447,淡水區,19.95,住宅大樓,鋼筋混凝土造,146.4,2.0,2.0,2.0,1,5590000.0
3448,淡水區,15.0,住宅大樓,鋼筋混凝土造,116.85,2.0,2.0,2.0,1,4940000.0
3449,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.25,2.0,2.0,2.0,1,5060000.0
3450,淡水區,20.09,住宅大樓,鋼筋混凝土造,146.98,2.0,2.0,2.0,1,6070000.0
3451,淡水區,20.09,住宅大樓,鋼筋混凝土造,146.98,2.0,2.0,2.0,1,6440000.0
3452,淡水區,15.0,住宅大樓,鋼筋混凝土造,116.84,2.0,2.0,2.0,1,4790000.0
3453,淡水區,15.0,住宅大樓,鋼筋混凝土造,116.84,2.0,2.0,2.0,1,5190000.0
3454,淡水區,22.05,住宅大樓,鋼筋混凝土造,125.21,3.0,2.0,2.0,1,6880000.0
3455,淡水區,23.61,住宅大樓,鋼筋混凝土造,161.5,3.0,1.0,2.0,1,10300000.0
3456,淡水區,15.87,住宅大樓,鋼筋混凝土造,117.44,1.0,1.0,1.0,1,7360000.0
3457,淡水區,23.89,住宅大樓,鋼筋混凝土造,163.11,3.0,1.0,2.0,1,9980000.0
3458,淡水區,15.5,住宅大樓,鋼筋混凝土造,115.24,1.0,1.0,1.0,1,7150000.0
3459,淡水區,32.28,住宅大樓,鋼筋混凝土造,233.08,4.0,2.0,2.0,1,11800000.0
3460,淡水區,17.17,住宅大樓,鋼筋混凝土造,118.6,2.0,1.0,1.0,1,7200000.0
3461,淡水區,21.36,住宅大樓,鋼筋混凝土造,139.18,3.0,2.0,2.0,1,9000000.0
3462,淡水區,27.55,華廈,鋼筋混凝土造,128.39,3.0,2.0,2.0,1,5300000.0
3463,淡水區,18.03,住宅大樓,鋼筋混凝土造,101.06,3.0,2.0,2.0,1,4150000.0
3464,淡水區,30.96,住宅大樓,鋼筋混凝土造,206.32,4.0,2.0,2.0,1,10660000.0
3465,淡水區,33.59,住宅大樓,鋼筋混凝土造,221.86,4.0,2.0,2.0,2,11920000.0
3466,淡水區,33.59,住宅大樓,鋼筋混凝土造,222.16,4.0,2.0,2.0,1,12200000.0
3467,淡水區,7.1,住宅大樓,鋼筋混凝土造,33.84,1.0,0.0,1.0,1,1700000.0
3468,淡水區,53.05,住宅大樓,鋼筋混凝土造,303.74,3.0,1.0,2.0,1,18150000.0
3469,淡水區,53.21,住宅大樓,鋼筋混凝土造,304.51,3.0,1.0,2.0,1,18150000.0
3470,淡水區,41.92,公寓,加強磚造,76.9,3.0,2.0,1.0,2,3500000.0
3471,淡水區,28.98,住宅大樓,鋼筋混凝土造,194.61,4.0,2.0,2.0,1,10650000.0
3472,淡水區,21.74,住宅大樓,鋼筋混凝土造,138.49,3.0,2.0,2.0,1,8400000.0
3473,淡水區,7.7,住宅大樓,鋼筋混凝土造,36.39,1.0,0.0,1.0,1,1760000.0
3474,淡水區,23.06,住宅大樓,鋼筋混凝土造,114.77,3.0,2.0,2.0,1,6450000.0
3475,淡水區,23.42,華廈,鋼筋混凝土造,131.41,3.0,2.0,2.0,1,5360000.0
3476,淡水區,8.4,華廈,鋼筋混凝土造,31.39,1.0,1.0,1.0,1,1800000.0
3477,淡水區,10.29,住宅大樓,鋼筋混凝土造,77.21,2.0,2.0,1.0,1,3100000.0
3478,淡水區,14.44,住宅大樓,鋼筋混凝土造,111.53,2.0,1.0,1.0,1,5600000.0
3479,淡水區,15.75,華廈,鋼筋混凝土造,122.56,2.0,2.0,2.0,1,7150000.0
3480,淡水區,6.53,住宅大樓,鋼骨鋼筋混凝土造,104.22,3.0,2.0,1.0,1,4800000.0
3481,淡水區,13.49,住宅大樓,鋼筋混凝土造,64.13,1.0,0.0,1.0,1,3150000.0
3482,淡水區,23.95,住宅大樓,鋼筋混凝土造,140.4,3.0,2.0,2.0,1,7500000.0
3483,淡水區,8.78,住宅大樓,鋼筋混凝土造,60.9,1.0,1.0,1.0,1,2720000.0
3484,淡水區,29.1,公寓,鋼筋混凝土造,126.22,6.0,0.0,6.0,2,5330000.0
3485,淡水區,15.36,住宅大樓,鋼筋混凝土造,108.84,2.0,2.0,1.0,1,5400000.0
3486,淡水區,28.27,住宅大樓,鋼筋混凝土造,173.73,3.0,1.0,2.0,1,10200000.0
3487,淡水區,24.03,公寓,鋼筋混凝土造,104.0,3.0,2.0,2.0,2,4450000.0
3488,淡水區,21.67,住宅大樓,鋼筋混凝土造,138.1,3.0,2.0,2.0,1,8800000.0
3489,淡水區,19.56,住宅大樓,鋼筋混凝土造,140.71,3.0,1.0,1.0,1,7050000.0
3490,淡水區,46.51,公寓,加強磚造,78.96,2.0,1.0,1.0,2,3343200.0
3491,淡水區,5.72,住宅大樓,鋼筋混凝土造,42.85,1.0,1.0,1.0,1,1700000.0
3492,淡水區,21.53,華廈,鋼筋混凝土造,105.2,2.0,1.0,2.0,1,4200000.0
3493,淡水區,14.75,華廈,鋼筋混凝土造,63.75,2.0,0.0,2.0,1,3800000.0
3494,淡水區,2.61,住宅大樓,鋼骨鋼筋混凝土造,41.73,1.0,0.0,1.0,1,1750000.0
3495,淡水區,10.78,住宅大樓,鋼筋混凝土造,64.3,2.0,2.0,1.0,1,3120000.0
3496,淡水區,31.6,公寓,鋼筋混凝土造,83.74,3.0,2.0,1.0,2,3500000.0
3497,淡水區,23.8,公寓,鋼筋混凝土造,86.62,3.0,1.0,2.0,2,3500000.0
3498,淡水區,5.3,套房,鋼筋混凝土造,29.6,1.0,1.0,1.0,2,1400000.0
3499,淡水區,15.1,華廈,鋼筋混凝土造,113.19,2.0,1.0,1.0,1,5300000.0
3500,淡水區,7.19,套房,鋼筋混凝土造,40.27,0.0,0.0,0.0,1,1630000.0
3501,淡水區,5.82,華廈,鋼筋混凝土造,32.03,1.0,1.0,1.0,1,1600000.0
3502,淡水區,19.36,住宅大樓,鋼筋混凝土造,149.08,3.0,2.0,2.0,2,8000000.0
3503,淡水區,19.36,住宅大樓,鋼筋混凝土造,149.08,3.0,2.0,2.0,2,8200000.0
3504,淡水區,2.68,套房,鋼筋混凝土造,46.46,1.0,0.0,1.0,1,3000000.0
3505,淡水區,52.23,住宅大樓,鋼筋混凝土造,159.23,3.0,2.0,2.0,1,7500000.0
3506,淡水區,28.09,華廈,鋼筋混凝土造,95.41,1.0,1.0,1.0,1,4800000.0
3507,淡水區,7.3,住宅大樓,鋼筋混凝土造,34.57,1.0,0.0,1.0,1,1650000.0
3508,淡水區,67.86,公寓,鋼筋混凝土造,169.41,4.0,3.0,2.0,2,7100000.0
3509,淡水區,13.49,住宅大樓,鋼筋混凝土造,64.49,3.0,0.0,3.0,1,3200000.0
3510,淡水區,26.37,住宅大樓,鋼筋混凝土造,217.84,4.0,2.0,2.0,1,10310000.0
3511,淡水區,26.72,住宅大樓,鋼筋混凝土造,220.86,4.0,2.0,2.0,1,11360000.0
3512,淡水區,21.16,住宅大樓,鋼筋混凝土造,118.57,3.0,2.0,2.0,1,5550000.0
3513,淡水區,38.38,住宅大樓,鋼筋混凝土造,214.72,4.0,2.0,2.0,1,10860000.0
3514,淡水區,16.59,住宅大樓,鋼筋混凝土造,88.33,2.0,1.0,1.0,1,5800000.0
3515,淡水區,7.3,住宅大樓,鋼筋混凝土造,34.57,1.0,0.0,1.0,1,1650000.0
3516,淡水區,7.7,住宅大樓,鋼筋混凝土造,36.39,1.0,0.0,1.0,1,1760000.0
3517,淡水區,19.59,華廈,鋼筋混凝土造,99.68,2.0,1.0,2.0,1,6200000.0
3518,淡水區,26.7,住宅大樓,鋼筋混凝土造,172.89,3.0,2.0,2.0,1,7810000.0
3519,淡水區,21.23,住宅大樓,鋼筋混凝土造,136.98,3.0,2.0,2.0,1,5200000.0
3520,淡水區,35.07,公寓,鋼筋混凝土造,102.76,2.0,2.0,1.0,2,5000000.0
3521,淡水區,5.7,套房,鋼筋混凝土造,31.07,1.0,1.0,1.0,1,1200000.0
3522,淡水區,12.73,華廈,鋼筋混凝土造,76.29,3.0,0.0,3.0,1,3550000.0
3523,淡水區,7.3,住宅大樓,鋼筋混凝土造,34.54,1.0,0.0,1.0,1,1700000.0
3524,淡水區,21.14,華廈,鋼筋混凝土造,99.31,2.0,1.0,1.0,1,6300000.0
3525,淡水區,31.32,住宅大樓,鋼筋混凝土造,182.1,3.0,2.0,2.0,1,9600000.0
3526,淡水區,6.4,住宅大樓,鋼筋混凝土造,30.31,1.0,1.0,1.0,1,1600000.0
3527,淡水區,32.13,住宅大樓,鋼筋混凝土造,247.48,4.0,2.0,2.0,1,10500000.0
3528,淡水區,21.23,住宅大樓,鋼筋混凝土造,138.15,3.0,2.0,2.0,1,5450000.0
3529,淡水區,15.85,住宅大樓,鋼筋混凝土造,92.2,2.0,2.0,2.0,1,4000000.0
3530,淡水區,7.1,套房,鋼筋混凝土造,33.84,1.0,0.0,1.0,1,1700000.0
3531,淡水區,40.19,公寓,鋼筋混凝土造,138.79,3.0,1.0,2.0,2,9000000.0
3532,淡水區,27.39,住宅大樓,鋼筋混凝土造,169.14,3.0,2.0,2.0,1,10500000.0
3533,淡水區,34.78,華廈,鋼筋混凝土造,208.55,3.0,2.0,2.0,1,10000000.0
3534,淡水區,8.4,套房,鋼筋混凝土造,31.39,0.0,1.0,1.0,1,1980000.0
3535,淡水區,23.66,住宅大樓,鋼筋混凝土造,176.97,4.0,2.0,2.0,1,10000000.0
