,District,L_area,MainMaterial,B_area,House/Building/Fang,LivingR,BathR,Price,PropertyType2,td,jw
4073,三重區,24.0,鋼筋混凝土造,73.0,2.0,2.0,1.0,6600000.0,公寓,2,1
4074,三重區,51.0,加強磚造,79.9,4.0,2.0,3.0,10000000.0,透天厝,1,1
4076,樹林區,17.61,鋼筋混凝土造,131.06,3.0,2.0,2.0,7900000.0,住宅大樓,1,1
4077,鶯歌區,32.09,鋼筋混凝土造,81.32,3.0,2.0,2.0,2200000.0,公寓,1,1
4078,樹林區,23.71,鋼筋混凝土造,183.38,4.0,2.0,2.0,10200000.0,華廈,1,1
4079,三峽區,10.86,鋼筋混凝土造,106.59,2.0,1.0,1.0,6000000.0,住宅大樓,1,1
4081,樹林區,10.04,鋼筋混凝土造,61.03,2.0,1.0,1.0,3850000.0,公寓,1,1
4082,鶯歌區,18.74,鋼筋混凝土造,96.11,3.0,2.0,2.0,4800000.0,華廈,1,1
4084,樹林區,31.39,鋼筋混凝土造,111.51,3.0,2.0,2.0,4700000.0,公寓,1,1
4086,板橋區,12.77,鋼筋混凝土造,87.0,2.0,1.0,1.0,10300000.0,住宅大樓,1,1
4087,板橋區,21.15,鋼筋混凝土造,164.07,3.0,1.0,2.0,18300000.0,住宅大樓,1,1
4088,板橋區,26.29,鋼筋混凝土造,91.04,7.0,4.0,3.0,9300000.0,公寓,1,1
4091,汐止區,29.3,鋼筋混凝土造,107.48,3.0,2.0,2.0,7000000.0,公寓,3,1
4092,汐止區,12.97,鋼筋混凝土造,101.1,2.0,1.0,1.0,5450000.0,住宅大樓,2,2
4093,汐止區,11.83,鋼筋混凝土造,147.44,3.0,2.0,2.0,16000000.0,住宅大樓,1,1
4094,淡水區,40.58,鋼筋混凝土造,187.63,4.0,2.0,2.0,15000000.0,華廈,5,1
4095,淡水區,21.74,鋼筋混凝土造,138.49,3.0,2.0,2.0,8100000.0,住宅大樓,1,1
4096,淡水區,34.27,鋼筋混凝土造,241.31,1.0,2.0,2.0,15500000.0,住宅大樓,2,1
4101,永和區,7.25,鋼筋混凝土造,87.05,2.0,1.0,1.0,7000000.0,住宅大樓,1,1
4103,蘆洲區,24.33,鋼筋混凝土造,177.0,3.0,2.0,2.0,14800000.0,住宅大樓,1,1
4104,樹林區,18.91,鋼筋混凝土造,156.75,4.0,2.0,2.0,10100000.0,住宅大樓,1,1
4106,中和區,15.05,鋼筋混凝土造,134.48,3.0,2.0,2.0,13480000.0,住宅大樓,1,1
4110,蘆洲區,22.81,鋼筋混凝土造,123.92,3.0,2.0,2.0,9000000.0,華廈,1,1
4111,三重區,12.17,鋼筋混凝土造,93.42,3.0,2.0,1.0,10450000.0,住宅大樓,3,1
4112,永和區,34.6,鋼筋混凝土造,108.22,3.0,2.0,2.0,15000000.0,公寓,1,1
4113,中和區,18.78,鋼筋混凝土造,75.52,3.0,2.0,1.0,6500000.0,公寓,1,1
4114,三峽區,15.53,鋼筋混凝土造,122.79,2.0,2.0,1.0,7400000.0,住宅大樓,1,1
4115,板橋區,3.02,鋼筋混凝土造,42.97,1.0,1.0,1.0,5800000.0,住宅大樓,3,1
4116,土城區,16.19,鋼筋混凝土造,75.48,3.0,2.0,1.0,4450000.0,公寓,1,1
4126,新莊區,4.89,鋼筋混凝土造,55.99,3.0,2.0,1.0,4000000.0,住宅大樓,1,3
4127,五股區,10.48,鋼筋混凝土造,70.02,3.0,1.0,1.0,4080000.0,住宅大樓,1,1
4129,汐止區,23.48,鋼筋混凝土造,156.38,3.0,1.0,1.0,9500000.0,住宅大樓,1,1
4131,汐止區,21.2,鋼筋混凝土造,85.2,3.0,1.0,3.0,6600000.0,華廈,1,1
4134,汐止區,17.1,鋼筋混凝土造,87.57,2.0,2.0,2.0,7200000.0,華廈,1,1
4136,淡水區,43.53,鋼筋混凝土造,387.45,3.0,2.0,2.0,12600000.0,住宅大樓,1,2
4138,淡水區,17.24,鋼筋混凝土造,116.12,3.0,2.0,1.0,4200000.0,住宅大樓,2,1
4140,淡水區,16.05,鋼筋混凝土造,121.69,2.0,2.0,1.0,6000000.0,住宅大樓,1,1
4143,淡水區,15.98,鋼筋混凝土造,89.49,2.0,2.0,1.0,5350000.0,住宅大樓,1,1
4149,八里區,13.41,鋼筋混凝土造,86.35,2.0,1.0,1.0,3650000.0,住宅大樓,2,1
4153,三芝區,12.7,鋼筋混凝土造,108.27,3.0,2.0,2.0,2930000.0,住宅大樓,1,1
4154,淡水區,26.59,鋼筋混凝土造,186.95,3.0,1.0,2.0,7000000.0,住宅大樓,1,1
4155,八里區,4.64,鋼筋混凝土造,57.41,1.0,1.0,1.0,4400000.0,住宅大樓,1,1
4156,淡水區,19.09,鋼筋混凝土造,122.14,3.0,2.0,1.0,4900000.0,住宅大樓,1,1
4163,汐止區,5.73,鋼筋混凝土造,72.71,2.0,2.0,1.0,6400000.0,住宅大樓,1,1
4165,新店區,16.18,鋼筋混凝土造,108.86,3.0,1.0,2.0,10900000.0,華廈,1,1
4167,新莊區,22.86,鋼筋混凝土造,67.9,2.0,2.0,1.0,5250000.0,公寓,1,1
4169,土城區,6.04,鋼筋混凝土造,31.89,1.0,1.0,1.0,2850000.0,住宅大樓,1,1
4170,板橋區,11.12,鋼骨鋼筋混凝土造,137.07,2.0,2.0,1.0,13800000.0,住宅大樓,1,1
4172,土城區,30.13,鋼筋混凝土造,93.83,3.0,1.0,2.0,8200000.0,公寓,1,1
4175,樹林區,20.28,鋼筋混凝土造,156.35,3.0,1.0,2.0,8300000.0,住宅大樓,1,1
4176,三峽區,17.46,鋼筋混凝土造,132.03,3.0,1.0,2.0,7500000.0,住宅大樓,1,1
4179,中和區,14.56,鋼筋混凝土造,70.02,2.0,2.0,1.0,7400000.0,公寓,1,1
4181,永和區,21.17,鋼筋混凝土造,77.05,3.0,2.0,1.0,8500000.0,公寓,1,1
4182,永和區,2.63,鋼筋混凝土造,64.44,1.0,1.0,1.0,6400000.0,套房,4,1
4184,蘆洲區,27.57,鋼筋混凝土造,90.42,3.0,2.0,1.0,6000000.0,公寓,2,1
4185,三重區,16.65,鋼筋混凝土造,110.33,3.0,2.0,2.0,10250000.0,住宅大樓,1,1
4187,三重區,30.5,鋼筋混凝土造,89.0,3.0,2.0,1.0,6600000.0,公寓,1,1
4191,中和區,14.34,鋼筋混凝土造,115.02,3.0,2.0,2.0,8750000.0,住宅大樓,1,1
4194,樹林區,34.6,鋼筋混凝土造,102.31,3.0,2.0,1.0,5000000.0,公寓,1,1
4195,蘆洲區,22.48,鋼筋混凝土造,129.27,3.0,2.0,2.0,7500000.0,華廈,1,1
4199,新店區,23.66,鋼筋混凝土造,86.33,3.0,2.0,1.0,5150000.0,公寓,2,1
4200,新店區,146.27,鋼筋混凝土造,99.15,3.0,2.0,2.0,13500000.0,透天厝,1,1
4203,汐止區,19.47,鋼筋混凝土造,145.32,3.0,2.0,2.0,11810000.0,住宅大樓,1,1
4205,汐止區,8.68,鋼骨鋼筋混凝土造,104.11,2.0,2.0,1.0,7880000.0,住宅大樓,2,1
4208,林口區,15.29,鋼筋混凝土造,117.36,3.0,2.0,2.0,9100000.0,住宅大樓,1,1
4209,林口區,18.85,鋼筋混凝土造,147.18,3.0,2.0,2.0,9300000.0,住宅大樓,1,1
4210,林口區,23.84,鋼筋混凝土造,145.92,3.0,2.0,2.0,9000000.0,住宅大樓,1,1
4217,樹林區,15.28,鋼筋混凝土造,97.67,3.0,1.0,1.0,5270000.0,住宅大樓,1,1
